"Price","Area","Bedrooms","Agency","Id","Type","Zone","URL","Timestamp","Ascensor","Garatge","Calefacció","Electrodomèstics","NoFeature","Terrassa","Traster","Jardí","Balcó","Cuina Equipada","Armaris encastats","Safareig","Habitació suite","Vidres dobles","Llar de foc","Box tancat","Moblat","Piscina","Cuina","TV","Internet - Wifi","Planta baixa","Assolellat","Sortida de fums","Aparador","Asfaltat","Apte per fumadors","Rentavaixelles","Cultivable","Porter automàtic","Edificable","Cèntric","Rentadora","S'accepten animals","Adaptat per a minusvàlids","Aire condicionat","Altell","Alarma","Ascensor / muntacàrregues"
"315.000 €","84 m2",3,"Immobiliària Galí",19186,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino-parking/19186","2023-11-09 16:55:42.516711",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"760.000 €","178 m2",4,"Finques 3 Cases",27308,"venda","ordino","/venda/casa-adossada-4-habitacions-2-banys-ordino/27308","2023-11-09 16:55:42.561922",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"769.000 €","192 m2",2,"Finques 3 Cases",27268,"venda","ordino","/venda/atic-2-habitacions-2-banys-ordino/27268","2023-11-09 16:55:43.120997",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.878.000 €","169 m2",2,"Finques 3 Cases",27260,"venda","ordino","/venda/pis-2-habitacions-2-banys-ordino/27260","2023-11-09 16:55:43.076935",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.908.000 €","148 m2",2,"Finques 3 Cases",27259,"venda","ordino","/venda/pis-2-habitacions-2-banys-ordino/27259","2023-11-09 16:55:42.626430",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.400.000 €","396 m2",3,"Finques 3 Cases",27257,"venda","ordino","/venda/duplex-3-habitacions-3-banys-ordino/27257","2023-11-09 16:55:43.616612",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.418.000 €","156 m2",2,"Finques 3 Cases",27256,"venda","ordino","/venda/pis-2-habitacions-2-banys-ordino/27256","2023-11-09 16:55:44.402810",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.634.000 €","176 m2",2,"Finques 3 Cases",27255,"venda","ordino","/venda/pis-2-habitacions-2-banys-ordino/27255","2023-11-09 16:55:42.350653",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6.829.000 €","795 m2",5,"Finques 3 Cases",27252,"venda","ordino","/venda/xalet-5-habitacions-5-banys-ordino/27252","2023-11-09 16:55:43.433946",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"449.000 €","85 m2",2,"Finques 3 Cases",27230,"venda","ordino","/venda/pis-2-habitacions-2-banys-ordino/27230","2023-11-09 16:55:43.386501",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
